model,accuracy,precision,recall,f1
lstm,0.9965478841870824,0.9960345229764404,0.9967320261437909,0.9963831524909579
bert,0.9903118040089087,0.9865522837931834,0.9932306255835668,0.9898801907642201
tfidf,0.9898663697104677,0.9858632676709154,0.9929971988795518,0.989417374113269
